unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year_month
816994,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,407.0,Southwest Queens,2019,2019-01-01,54.2,2019-01
817016,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,103.0,Lower East Side and Chinatown (CD3),2019,2019-01-01,127.4,2019-01
817128,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,503.0,Tottenville and Great Kills (CD3),2019,2019-01-01,11.9,2019-01
816938,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,107.0,Hunts Point - Mott Haven,2019,2019-01-01,51.4,2019-01
817100,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,403.0,Jackson Heights (CD3),2019,2019-01-01,70.6,2019-01
816737,643,Annual vehicle miles traveled,Million miles,per square mile,CD,315.0,Sheepshead Bay (CD15),2019,2019-01-01,55.3,2019-01
816922,644,Annual vehicle miles traveled (cars),Million miles,per square mile,Borough,4.0,Queens,2019,2019-01-01,53.4,2019-01
816718,643,Annual vehicle miles traveled,Million miles,per square mile,CD,413.0,Queens Village (CD13),2019,2019-01-01,74.9,2019-01
816797,643,Annual vehicle miles traveled,Million miles,per square mile,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2019,2019-01-01,133.1,2019-01
816773,643,Annual vehicle miles traveled,Million miles,per square mile,CD,209.0,Parkchester and Soundview (CD9),2019,2019-01-01,74.0,2019-01
816731,643,Annual vehicle miles traveled,Million miles,per square mile,CD,318.0,Flatlands and Canarsie (CD18),2019,2019-01-01,44.4,2019-01
816998,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,409.0,Southeast Queens,2019,2019-01-01,64.3,2019-01
816702,643,Annual vehicle miles traveled,Million miles,per square mile,CD,405.0,Ridgewood and Maspeth (CD5),2019,2019-01-01,60.3,2019-01
816897,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,102.0,Northeast Bronx,2019,2019-01-01,47.7,2019-01
816964,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,302.0,Central Harlem - Morningside Heights,2019,2019-01-01,100.7,2019-01
816779,643,Annual vehicle miles traveled,Million miles,per square mile,CD,206.0,Belmont and East Tremont (CD6),2019,2019-01-01,104.9,2019-01
816855,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,305.0,Upper East Side,2019,2019-01-01,124.6,2019-01
816835,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,405.0,Ridgewood - Forest Hills,2019,2019-01-01,66.5,2019-01
816775,643,Annual vehicle miles traveled,Million miles,per square mile,CD,208.0,Riverdale and Fieldston (CD8),2019,2019-01-01,56.0,2019-01
816807,643,Annual vehicle miles traveled,Million miles,per square mile,CD,104.0,Clinton and Chelsea (CD4),2019,2019-01-01,161.5,2019-01
816966,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,303.0,East Harlem,2019,2019-01-01,135.8,2019-01
816986,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,403.0,Flushing - Clearview,2019,2019-01-01,37.6,2019-01
816948,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,205.0,Sunset Park,2019,2019-01-01,93.9,2019-01
816791,643,Annual vehicle miles traveled,Million miles,per square mile,CD,112.0,Washington Heights and Inwood (CD12),2019,2019-01-01,151.5,2019-01
816795,643,Annual vehicle miles traveled,Million miles,per square mile,CD,110.0,Central Harlem (CD10),2019,2019-01-01,84.5,2019-01
817110,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,408.0,Hillcrest and Fresh Meadows (CD8),2019,2019-01-01,73.3,2019-01
816747,643,Annual vehicle miles traveled,Million miles,per square mile,CD,310.0,Bay Ridge and Dyker Heights (CD10),2019,2019-01-01,84.0,2019-01
816771,643,Annual vehicle miles traveled,Million miles,per square mile,CD,210.0,Throgs Neck and Co-op City (CD10),2019,2019-01-01,73.9,2019-01
817102,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,404.0,Elmhurst and Corona (CD4),2019,2019-01-01,73.5,2019-01
817042,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,204.0,Highbridge and Concourse (CD4),2019,2019-01-01,82.4,2019-01
816976,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,308.0,Greenwich Village - SoHo,2019,2019-01-01,124.2,2019-01
817080,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,311.0,Bensonhurst (CD11),2019,2019-01-01,46.0,2019-01
817028,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2019,2019-01-01,123.1,2019-01
817032,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,111.0,East Harlem (CD11),2019,2019-01-01,140.8,2019-01
817116,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,411.0,Bayside and Little Neck (CD11),2019,2019-01-01,67.6,2019-01
